year,biogenic_ch4,key,emissions
2020,33.483934666283744,GHG emissions: gross,78.778366
2020,33.483934666283744,GHG emissions: net,55.465111
2020,33.483934666283744,GHG emissions: LULUCF,-23.313255
2020,33.483934666283744,Carbon dioxide: net,10.79052
2020,33.483934666283744,Carbon dioxide: gross,34.456753
2020,33.483934666283744,Carbon dioxide: LULUCF,-23.666233
2020,33.483934666283744,Methane: agricultural,30.472003
2020,33.483934666283744,Nitrous oxide: agricultural,8.002034
2020,33.483934666283744,Fluorinated gases,1.584892
2019,33.665449665659864,GHG emissions: gross,81.617058
2019,33.665449665659864,GHG emissions: net,58.582142
2019,33.665449665659864,GHG emissions: LULUCF,-23.034917
2019,33.665449665659864,Carbon dioxide: net,13.736289
2019,33.665449665659864,Carbon dioxide: gross,37.121034
2019,33.665449665659864,Carbon dioxide: LULUCF,-23.384745
2019,33.665449665659864,Methane: agricultural,30.607403
2019,33.665449665659864,Nitrous oxide: agricultural,7.890734
2019,33.665449665659864,Fluorinated gases,1.586113
2018,33.58892416225398,GHG emissions: gross,80.079582
2018,33.58892416225398,GHG emissions: net,55.777276
2018,33.58892416225398,GHG emissions: LULUCF,-24.302306
2018,33.58892416225398,Carbon dioxide: net,11.091043
2018,33.58892416225398,Carbon dioxide: gross,35.704539
2018,33.58892416225398,Carbon dioxide: LULUCF,-24.613496
2018,33.58892416225398,Methane: agricultural,30.482859
2018,33.58892416225398,Nitrous oxide: agricultural,7.869287
2018,33.58892416225398,Fluorinated gases,1.566134
2017,33.512709606016614,GHG emissions: gross,79.889594
2017,33.512709606016614,GHG emissions: net,55.185792
2017,33.512709606016614,GHG emissions: LULUCF,-24.703802
2017,33.512709606016614,Carbon dioxide: net,10.635802
2017,33.512709606016614,Carbon dioxide: gross,35.688127
2017,33.512709606016614,Carbon dioxide: LULUCF,-25.052325
2017,33.512709606016614,Methane: agricultural,30.34195
2017,33.512709606016614,Nitrous oxide: agricultural,7.773353
2017,33.512709606016614,Fluorinated gases,1.541222
2016,33.520853856562084,GHG emissions: gross,78.391484
2016,33.520853856562084,GHG emissions: net,52.153515
2016,33.520853856562084,GHG emissions: LULUCF,-26.23797
2016,33.520853856562084,Carbon dioxide: net,7.525912
2016,33.520853856562084,Carbon dioxide: gross,34.152639
2016,33.520853856562084,Carbon dioxide: LULUCF,-26.626727
2016,33.520853856562084,Methane: agricultural,30.313368
2016,33.520853856562084,Nitrous oxide: agricultural,7.731446
2016,33.520853856562084,Fluorinated gases,1.4856
2015,33.90319903847577,GHG emissions: gross,80.450065
